Ball-Number,Commentary,Date and Time,over,ball,runs,happend_on_ball,extra
72.2,"Shami to Paine, no run, watchfully defended into the off-side","Dec 17, 2018 9:32:31 AM",72,2,0.0,,0
72.1,"Shami to Paine, no run, good length delivery just outside off stump, Paine defends off the front foot","Dec 17, 2018 9:31:55 AM",72,1,0.0,,0
71.6,"Hanuma Vihari to Paine, 1 run, very full and outside off stump, square-driven to deep point","Dec 17, 2018 9:30:35 AM",71,6,1.0,,0
71.5,"Hanuma Vihari to Khawaja, 1 run, shortish in length, Khawaja punches it to point","Dec 17, 2018 9:30:13 AM",71,5,1.0,,0
71.4,"Hanuma Vihari to Khawaja, no run, late-cut to short third man","Dec 17, 2018 9:29:51 AM",71,4,0.0,,0
71.3,"Hanuma Vihari to Khawaja, no run, nicely bowled flighted delivery on the off stump, Khawaja defends","Dec 17, 2018 9:29:37 AM",71,3,0.0,,0
71.2,"Hanuma Vihari to Khawaja, no run, excellent diving save to the left by Kohli at cover, Khawaja drove that really well","Dec 17, 2018 9:29:27 AM",71,2,0.0,,0
71.1,"Hanuma Vihari to Paine, 1 run, low full toss outside off stump, Paine drives it to long-off","Dec 17, 2018 9:29:04 AM",71,1,1.0,,0
70.6,"Bumrah to Paine, 1 run, full ball on the off stump, Paine flicks it to the right of mid-on","Dec 17, 2018 9:28:02 AM",70,6,1.0,,0
70.5,"Bumrah to Paine, no run, short and wide outside off stump, left alone","Dec 17, 2018 9:27:27 AM",70,5,0.0,,0
70.4,"Bumrah to Paine, no run, short of length delivery on the off stump, Paine defends off the back foot","Dec 17, 2018 9:26:50 AM",70,4,0.0,,0
70.3,"Bumrah to Khawaja, 1 run, full delivery angled in, Khawaja fails to connect with the flick properly, gets an inside edge onto pad, the ball rolls to backward square leg","Dec 17, 2018 9:26:21 AM",70,3,1.0,,0
70.2,"Bumrah to Khawaja, no run, defended into the on-side","Dec 17, 2018 9:25:36 AM",70,2,0.0,,0
70.1,"Bumrah to Paine, 1 run, goes for the yorker again, but bowls a low full toss, mistimed flick to deep mid-wicket","Dec 17, 2018 9:24:29 AM",70,1,1.0,,0
69.6,"Hanuma Vihari to Paine, 1 run, moves across outside off stump, Paine drives it to deep cover","Dec 17, 2018 9:23:30 AM",69,6,1.0,,0
69.5,"Hanuma Vihari to Paine, no run, oh tries to play the drive and almost nicks off to the keeper","Dec 17, 2018 9:23:05 AM",69,5,0.0,,0
69.4,"Hanuma Vihari to Khawaja, 1 run, very full and outside off stump, Khawaja digs it out to cover","Dec 17, 2018 9:22:48 AM",69,4,1.0,,0
69.3,"Hanuma Vihari to Khawaja, no run, left alone again","Dec 17, 2018 9:22:28 AM",69,3,0.0,,0
69.2,"Hanuma Vihari to Khawaja, no run, shortish delivery outside off stump, Khawaja cuts it to backward point","Dec 17, 2018 9:22:15 AM",69,2,0.0,,0
69.1,"Hanuma Vihari to Paine, 1 run, very full and wide outside off stump, Paine drives it to cover","Dec 17, 2018 9:21:53 AM",69,1,1.0,,0
68.6,"Bumrah to Khawaja, no run, oh there's the slower delivery, Khawaja didn't read that, tried to block and the ball flew past the bat","Dec 17, 2018 9:21:00 AM",68,6,0.0,,0
68.5,"Bumrah to Khawaja, no run, tried the bouncer there, but it was sprayed down the leg-side","Dec 17, 2018 9:20:22 AM",68,5,0.0,,0
68.4,"Bumrah to Khawaja, no run, fullish and outside off stump, Khawaja shoulders arms","Dec 17, 2018 9:19:46 AM",68,4,0.0,,0
68.3,"Bumrah to Khawaja, no run, <b>beaten</b>! Khawaja wanted to defend this short of length delivery, but it left him late off the pitch","Dec 17, 2018 9:19:13 AM",68,3,0.0,,0
68.2,"Bumrah to Khawaja, no run, that's a good leave, not too far away from the off stump, Khawaja did well to cover the stumps and let it pass though","Dec 17, 2018 9:18:40 AM",68,2,0.0,,0
68.1,"Bumrah to Khawaja, no run, nice yorker from round the wicket, Khawaja digs it out","Dec 17, 2018 9:18:11 AM",68,1,0.0,,0
67.6,"Hanuma Vihari to Paine, no run, oh what was that from Hanuma Vihari? He's an offie, but this has pitched and turned away from Paine, almost taking the edge of the bat","Dec 17, 2018 9:17:08 AM",67,6,0.0,,0
67.5,"Hanuma Vihari to Paine, no run, full and outside off stump, ignored","Dec 17, 2018 9:16:52 AM",67,5,0.0,,0
67.4,"Hanuma Vihari to Khawaja, 3 runs, now that is excellent batting, there was two fielders close behind point, but Khawaja has pierced them perfectly with this cut shot","Dec 17, 2018 9:16:28 AM",67,4,3.0,,0
67.3,"Hanuma Vihari to Paine, 1 run, very full and wide outside off stump, Paine square-drives the ball through point","Dec 17, 2018 9:15:50 AM",67,3,1.0,,0
67.2,"Hanuma Vihari to Khawaja, 1 run, very full delivery outside off stump, Khawaja taps it to the right of cover, Kohli attacks the ball and has a shy but Paine was home","Dec 17, 2018 9:15:16 AM",67,2,1.0,,0
67.1,"Hanuma Vihari to Khawaja, no run, wide outside off stump, left alone","Dec 17, 2018 9:14:56 AM",67,1,0.0,,0
66.6,"Bumrah to Paine, no run, defended from the crease, what a lovely over that was from Bumrah. Kept Paine on the toes and gave nothing away","Dec 17, 2018 9:14:14 AM",66,6,0.0,,0
66.5,"Bumrah to Paine, no run, fullish delivery outside off stump, Paine watchfully defends to cover","Dec 17, 2018 9:13:41 AM",66,5,0.0,,0
66.4,"Bumrah to Paine, no run, big inside edge onto boot saves Paine there, low full toss, Paine failed to connect with the flick properly, but for the edge, he would have been a goner","Dec 17, 2018 9:13:08 AM",66,4,0.0,,0
66.3,"Bumrah to Paine, no run, short of length delivery on the off stump, Paine defends off the back foot","Dec 17, 2018 9:12:14 AM",66,3,0.0,,0
66.2,"Bumrah to Paine, no run, short of length delivery on the off stump, Paine defends off the back foot","Dec 17, 2018 9:11:43 AM",66,2,0.0,,0
66.1,"Bumrah to Paine, no run, beaten first ball of the new spell. Bumrah hops in his run up and bangs it into the pitch around the short of a the length region, Paine went for the pull but was totally foxed by the steep bounce","Dec 17, 2018 9:11:11 AM",66,1,0.0,,0
65.6,"Hanuma Vihari to Paine, 1 run, cut away to the right of backward point, Umesh dives and saves a few","Dec 17, 2018 9:10:11 AM",65,6,1.0,,0
65.5,"Hanuma Vihari to Paine, no run, this time Paine doesn't bother playing at this wide one","Dec 17, 2018 9:09:49 AM",65,5,0.0,,0
65.4,"Hanuma Vihari to Paine, no run, oh again low bounce, short ball, Paine was shaping up for the cut shot, beaten completely by the lack of bounce","Dec 17, 2018 9:09:35 AM",65,4,0.0,,0
65.3,"Hanuma Vihari to Khawaja, 1 run, full and outside off stump, Khawaja drives it to cover","Dec 17, 2018 9:09:01 AM",65,3,1.0,,0
65.2,"Hanuma Vihari to Khawaja, no run, again the shorter length wide outside off stump, Khawaja isn't keen on playing at those","Dec 17, 2018 9:08:39 AM",65,2,0.0,,0
65.1,"Hanuma Vihari to Khawaja, no run, fired wide outside off stump, left alone","Dec 17, 2018 9:08:28 AM",65,1,0.0,,0
64.6,"U Yadav to Khawaja, 3 runs, overpitched and Khawaja is there perfectly in position to drive off the front foot through cover","Dec 17, 2018 9:07:17 AM",64,6,3.0,,0
64.5,"U Yadav to Khawaja, no run, good length delivery outside off stump, Khawaja lets it go","Dec 17, 2018 9:06:35 AM",64,5,0.0,,0
64.5,"U Yadav to Khawaja, <b>wide</b>, oh big bouncer and Pant did really well to jump high and stop the ball with one hand, that would have been four extra runs given away. Umesh banged this really short and got it to rise steeply","Dec 17, 2018 9:06:11 AM",64,5,,WD,1
64.4,"U Yadav to Khawaja, no run, short and wide outside off stump, Khawaja not keen on playing those","Dec 17, 2018 9:05:34 AM",64,4,0.0,,0
64.3,"U Yadav to Khawaja, no run, defended towards cover","Dec 17, 2018 9:05:05 AM",64,3,0.0,,0
64.2,"U Yadav to Khawaja, no run, length ball acres outside off stump, ignored. The speedgun shows <b>156.5kph</b>, but that definitely wasn't quick","Dec 17, 2018 9:04:35 AM",64,2,0.0,,0
64.1,"U Yadav to Khawaja, no run, wide outside off stump, left alone","Dec 17, 2018 9:04:05 AM",64,1,0.0,,0
63.6,"Ishant to Khawaja, 3 runs, now Khawaja moves across to flick this full ball past mid-wicket and that's a <b>well made fifty</b>, could well be a match-winning knock. He's held the batting together this innings. That's by the way is his <b>14th Test fifty</b>. Finch applauds from the dressing room and he's fit to bat today","Dec 17, 2018 9:03:18 AM",63,6,3.0,,0
63.5,"Ishant to Khawaja, no run, this is very very interesting, the ball is keeping low all of a sudden, danger signs for India. Fullish delivery just outside off stump, probably hit the crack, the ball sneaks under Khawaja's bat and it was so close to the sticks","Dec 17, 2018 9:02:20 AM",63,5,0.0,,0
63.4,"Ishant to Khawaja, no run, nice full delivery on the off stump, Khawaja flicks it to the left of mid-on","Dec 17, 2018 9:01:39 AM",63,4,0.0,,0
63.3,"Ishant to Khawaja, no run, again not bouncing much, short of length delivery on the off stump, Khawaja defends it back to the bowler","Dec 17, 2018 9:00:59 AM",63,3,0.0,,0
63.2,"Ishant to Khawaja, no run, oh this one has kept low, but it's wide outside off stump for Khawaja to be concerned, beat the bat though as he tried to defend","Dec 17, 2018 9:00:18 AM",63,2,0.0,,0
63.1,"Ishant to Khawaja, no run, good length delivery around the off stump, Khawaja defends into the off-side","Dec 17, 2018 8:59:41 AM",63,1,0.0,,0
62.6,"U Yadav to Paine, no run, again hit on the thigh, this time on the right leg, Paine's got some blows this game. The length ball troubling him there, soft appeal for LBW, but height was issue there","Dec 17, 2018 8:58:56 AM",62,6,0.0,,0
62.5,"U Yadav to Paine, no run, short delivery down the leg-side, Paine isn't bothered to play at it","Dec 17, 2018 8:58:27 AM",62,5,0.0,,0
62.4,"U Yadav to Khawaja, 1 run, into the pads, Khawaja flicks it through backward square leg","Dec 17, 2018 8:57:52 AM",62,4,1.0,,0
62.3,"U Yadav to Khawaja, no run, round the wicket, fullish delivery wide outside off stump, Khawaja covers the sticks and lets it pass","Dec 17, 2018 8:57:16 AM",62,3,0.0,,0
62.2,"U Yadav to Paine, leg byes, 1 run, and this one has smashed into the thigh pad, the angle troubling Paine there, good length delivery from Umesh, again a bit of extra bounce, the ball rolls towards square leg and they sneak a leg bye","Dec 17, 2018 8:56:59 AM",62,2,1.0,1B,1
62.1,"U Yadav to Paine, no run, oh that's hit Paine, probably on the glove, and there's a mix-up as well, Khawaja was rushing for a run, but Paine was looking back to see where the ball had gone, so he was in no position to take off. This length ball kicked up off the pitch and surpsied Paine on the defence, the ball rolls beside the pitch","Dec 17, 2018 8:55:59 AM",62,1,0.0,,0
61.6,"Ishant to Khawaja, no run, further full and Ishant bowls this wide of off, ignored","Dec 17, 2018 8:55:04 AM",61,6,0.0,,0
61.5,"Ishant to Khawaja, no run, full ball at 135.5kph, Khawaja drives well but hits it straight to mid-off","Dec 17, 2018 8:54:26 AM",61,5,0.0,,0
61.4,"Ishant to Paine, 1 run, follows that beauty with a very ordinary ball, strays it on the pads, helped on its way to long leg","Dec 17, 2018 8:53:36 AM",61,4,1.0,,0
61.3,"Ishant to Paine, no run, fuller in length, angled in and seamed away, there's not much you can do as a batsman. Paine was trying to block and the ball whizzes past the outside edge. That's <i>unplayable!</i>","Dec 17, 2018 8:52:50 AM",61,3,0.0,,0
61.2,"Ishant to Paine, no run, moves away a tad off the deck from a length, Paine lets it be","Dec 17, 2018 8:52:10 AM",61,2,0.0,,0
61.1,"Ishant to Paine, no run, fuller than a good length ball holding its line outside off, left alone","Dec 17, 2018 8:51:33 AM",61,1,0.0,,0
60.6,"U Yadav to Khawaja, no run, brisk nip-backer, swung in towards the left-hander. Khawaja moves across and jabs it to mid-on","Dec 17, 2018 8:46:07 AM",60,6,0.0,,0
60.5,"U Yadav to Paine, 1 run, persists with short pitch stuff, aiming at the body. Paine wrists it in front of mid-wicket","Dec 17, 2018 8:45:29 AM",60,5,1.0,,0
60.4,"U Yadav to Khawaja, 1 run, shortish outside off, dabbed with soft hands to cover and 150-up for Australia","Dec 17, 2018 8:44:48 AM",60,4,1.0,,0
60.3,"U Yadav to Paine, 1 run, short outside off, Paine arches his back and steers it to third man","Dec 17, 2018 8:44:18 AM",60,3,1.0,,0
60.2,"U Yadav to Khawaja, 1 run, too straight from Umesh, clipped through mid-wicket","Dec 17, 2018 8:43:31 AM",60,2,1.0,,0
60.1,"U Yadav to Khawaja, no run, drifting down leg, Khawaja moves across his sticks looking to help it fine. But misses and Pant has to move to his left to nestle it in his glove","Dec 17, 2018 8:42:57 AM",60,1,0.0,,0
59.6,"Ishant to Paine, no run, sliding on leg, tucked to square leg","Dec 17, 2018 8:42:00 AM",59,6,0.0,,0
59.5,"Ishant to Paine, no run, identical delivery, accurate at the stumps. Paine defends it off the cue-end. Desperation showing on Ishant's face, gives a mouthful to Paine","Dec 17, 2018 8:41:13 AM",59,5,0.0,,0
59.4,"Ishant to Paine, no run, full and nibbling at the stumps, Paine gets right behind the line to stab it defensively back to the bowler","Dec 17, 2018 8:40:32 AM",59,4,0.0,,0
59.3,"Ishant to Paine, no run, angles in towards the body, Paine guards it from the crease","Dec 17, 2018 8:39:50 AM",59,3,0.0,,0
59.2,"Ishant to Khawaja, 1 run, short of length outside off, Khawaja gets on top of the bounce and drops it to cover","Dec 17, 2018 8:39:05 AM",59,2,1.0,,0
59.1,"Ishant to Khawaja, no run, good length delivery, holding its line outside off. Khawaja shoulders arms","Dec 17, 2018 8:38:21 AM",59,1,0.0,,0
58.6,"U Yadav to Khawaja, 1 run, Khawaja shuffles across and whips this in-dipper through mid-wicket","Dec 17, 2018 8:37:33 AM",58,6,1.0,,0
58.5,"U Yadav to Khawaja, no run, good length, homing around off. Defended off the back foot","Dec 17, 2018 8:36:56 AM",58,5,0.0,,0
58.4,"U Yadav to Khawaja, no run, shorter and outside off, Khawaja goes for a compulsive pull but gets defeated by the lack of bounce. Slides under his bat","Dec 17, 2018 8:36:24 AM",58,4,0.0,,0
58.3,"U Yadav to Khawaja, no run, digs it short and at the body, Khawaja jumps back and across to fend it to the left of the bowler","Dec 17, 2018 8:35:51 AM",58,3,0.0,,0
58.2,"U Yadav to Khawaja, no run, <b>beauty</b>! Goes wide of the crease and lasers it in the channel just outside off, the angle wooed Khawaja to play at it. The ball straightened enough to beat the outside edge","Dec 17, 2018 8:35:21 AM",58,2,0.0,,0
58.1,"U Yadav to Paine, 1 run, shorter outside off, Paine makes room and glides it away to third man","Dec 17, 2018 8:34:48 AM",58,1,1.0,,0
57.6,"Ishant to Khawaja, no run, trims his length, but the line is well outside off. Khawaja went on the back foot but changes his mind, allows it to pass","Dec 17, 2018 8:33:38 AM",57,6,0.0,,0
57.5,"Ishant to Khawaja, no run, tries to lure Khawaja into a drive by hurling it full and wide of off, Khawaja is reluctant and lets it go","Dec 17, 2018 8:32:52 AM",57,5,0.0,,0
57.4,"Ishant to Khawaja, no run, fullish and straightens in the corridor outside off, Khawaja keeps his bat upwards","Dec 17, 2018 8:32:15 AM",57,4,0.0,,0
57.3,"Ishant to Paine, leg byes, 1 run, rising from a length on leg, Paine misses the tuck and gets hit on the thigh pad. Lobs to square leg","Dec 17, 2018 8:31:23 AM",57,3,1.0,1B,1
57.2,"Ishant to Paine, no run, Sharma loses his line and splays it down leg. Some work for Pant - who sprawls across and takes it","Dec 17, 2018 8:30:25 AM",57,2,0.0,,0
57.1,"Ishant to Paine, no run, keeps it full and attacks the stumps, Paine displays a neat block off the front foot","Dec 17, 2018 8:29:46 AM",57,1,0.0,,0
56.6,"U Yadav to Khawaja, no run, wobbles on a fuller length, keeps coming back with the angle. Khawaja gets his front foot across and leaves","Dec 17, 2018 8:27:49 AM",56,6,0.0,,0
56.5,"U Yadav to Khawaja, no run, short of length and tighter line just outside off, still not enough to drag Khawaja into playing a shot","Dec 17, 2018 8:27:14 AM",56,5,0.0,,0
56.4,"U Yadav to Khawaja, no run, hammers it on a back of a length from round the wicket, it takes flight and thuds into Pant's glove - who collects it in front of his face","Dec 17, 2018 8:26:42 AM",56,4,0.0,,0
56.3,"U Yadav to Paine, 1 run, straighter line, Paine defends it from the crease - squirts off the inner half to square leg","Dec 17, 2018 8:26:03 AM",56,3,1.0,,0
56.2,"U Yadav to Paine, no run, pitched up and curls away just outside off, Paine lifts his bat and lets it go","Dec 17, 2018 8:25:26 AM",56,2,0.0,,0
56.1,"U Yadav to Paine, no run, short of length and going away outside off, Paine is not interested","Dec 17, 2018 8:24:56 AM",56,1,0.0,,0
55.6,"Shami to Paine, 1 run, goodish length just outside off, Paine uses his soft hands and dinks it behind point","Dec 17, 2018 8:23:28 AM",55,6,1.0,,0
55.5,"Shami to Paine, no run, 137.5kph, served up and it snakes away outside off, easy leave for Paine","Dec 17, 2018 8:22:46 AM",55,5,0.0,,0
55.4,"Shami to Paine, no run, this was reared up from a length, tucking Paine for space. Guided with a tilted bat to second slip","Dec 17, 2018 8:21:50 AM",55,4,0.0,,0
55.3,"Shami to Khawaja, 1 run, keeps his bat at an angle, allows for the ball to do its bit and pats it towards point","Dec 17, 2018 8:21:08 AM",55,3,1.0,,0
55.2,"Shami to Khawaja, no run, length delivery around off, Khawaja waits back and blocks it","Dec 17, 2018 8:20:27 AM",55,2,0.0,,0
55.1,"Shami to Khawaja, no run, pitched up just outside off, defended","Dec 17, 2018 8:19:44 AM",55,1,0.0,,0
54.6,"Bumrah to Paine, no run, 143.4kph, fuller length delivery and meandering away outside off, left alone","Dec 17, 2018 8:18:34 AM",54,6,0.0,,0
54.5,"Bumrah to Paine, no run, bumper, keeping the batsman on the toes. Paine sways his head inside the line","Dec 17, 2018 8:17:57 AM",54,5,0.0,,0
54.4,"Bumrah to Paine, no run, fuller length delivery outside off, Paine lifts his bat and lets it go","Dec 17, 2018 8:17:20 AM",54,4,0.0,,0
54.3,"Bumrah to Khawaja, 1 run, tell you what, <b>a direct-hit at the non-striker's end and Khawaja would have been running back to the pavilion</b>. But Bumrah can't hit the stumps, he lost his balance a bit. Lifter at the body, Khawaja fended it towards mid-wicket and there was a little hesitation between the duo. Bumrah runs across, collects the ball and flings in a throw quickly, only to miss his target. He had effected a superb direct-hit in the T20Is, guess Stoinis was the batsman - who was caught short of his crease. In fact, it was Lynn! My bad","Dec 17, 2018 8:16:39 AM",54,3,1.0,,0
54.2,"Bumrah to Khawaja, no run, cannons it full outside off, Khawaja jams it to mid-on","Dec 17, 2018 8:16:02 AM",54,2,0.0,,0
54.1,"Bumrah to Khawaja, no run, lovely from Bumrah. Keeps beaten the bat without any reward. This was angled in on a length, it seamed away after pitching and beats a nervy prod from Khawaja","Dec 17, 2018 8:15:29 AM",54,1,0.0,,0
53.6,"Shami to Paine, no run, <b>three maidens on the trot for Shami</b>. Fullish outside off, Paine prods forward and taps it with soft hands to point","Dec 17, 2018 8:14:25 AM",53,6,0.0,,0
53.5,"Shami to Paine, no run, plouging a furrow a mile outside off, Paine goes chasing hastily and nearly nicked it behind. Exaggerated movement after it passed the bat","Dec 17, 2018 8:13:49 AM",53,5,0.0,,0
53.4,"Shami to Paine, no run, overpitched just outside off, Paine gets forward and drives it straight down the ground. Khawaja comes in the way and denies Paine some runs","Dec 17, 2018 8:13:10 AM",53,4,0.0,,0
53.3,"Shami to Paine, no run, misdirected bouncer, hammered on a short of length and it slips down leg","Dec 17, 2018 8:12:34 AM",53,3,0.0,,0
53.2,"Shami to Paine, no run, fuller length and jagging in just outside off, Paine gets his front foot across and leaves","Dec 17, 2018 8:11:56 AM",53,2,0.0,,0
53.1,"Shami to Paine, no run, Shami tests Paine with a bumper, looping up and Paine ducks his head","Dec 17, 2018 8:11:23 AM",53,1,0.0,,0
52.6,"Bumrah to Khawaja, no run, pacy, decks in from a length and cuts Khawaja for room. The batsman tries to get his bat down and gropes unconventionally, thick inside edge ensues - onto his pad and dips into the pitch","Dec 17, 2018 8:10:20 AM",52,6,0.0,,0
52.5,"Bumrah to Khawaja, no run, look at that movement there. Length delivery outside off, Khawaja ignores and it keeps hissing away making Pant to dive to his left to grab it","Dec 17, 2018 8:09:44 AM",52,5,0.0,,0
52.4,"Bumrah to Khawaja, no run, pitched up and holding its line outside off, left alone","Dec 17, 2018 8:09:07 AM",52,4,0.0,,0
52.3,"Bumrah to Khawaja, no run, <i>142.3kph</i>, fuller outside off. Khawaja props forward and dead-bats it","Dec 17, 2018 8:08:32 AM",52,3,0.0,,0
52.2,"Bumrah to Khawaja, no run, hits the deck hard on a short of length, rears up a touch and Khawaja stays back to tackle it","Dec 17, 2018 8:07:58 AM",52,2,0.0,,0
52.1,"Bumrah to Paine, 1 run, <b>splice-jarrer</b>, Paine couldn't combat the spongy bounce and takes it on the glove. Bobbles away behind square towards fine leg","Dec 17, 2018 8:07:18 AM",52,1,1.0,,0
51.6,"Shami to Khawaja, no run, <b>outside edge dies in front of Rahul at second slip</b>. Shami draws the batsman forward with a fuller length delivery, gets it to tail away at the last instant and Khawaja came forward to defend, luckily soft hands came to his rescue there","Dec 17, 2018 8:06:04 AM",51,6,0.0,,0
51.5,"Shami to Khawaja, no run, goes fuller outside off, the line is well outside off and Khawaja leaves. Good carry to Pant there","Dec 17, 2018 8:05:23 AM",51,5,0.0,,0
51.4,"Shami to Khawaja, no run, length delivery, probes the off-stump corridor. Khawaja gets behind the line and defends","Dec 17, 2018 8:04:50 AM",51,4,0.0,,0
51.3,"Shami to Khawaja, no run, peckers the nagging line just outside off, Khawaja elects to leave","Dec 17, 2018 8:04:12 AM",51,3,0.0,,0
51.2,"Shami to Khawaja, no run, fuller outside off, Khawaja leans across and pushes it gently to mid-off","Dec 17, 2018 8:03:39 AM",51,2,0.0,,0
51.1,"Shami to Khawaja, no run, <b>beaten</b>. Length delivery in the channel just outside off, Khawaja with a dodgy jab away from his body and the ball held its line, very close to scraping the outside edge","Dec 17, 2018 8:03:00 AM",51,1,0.0,,0
50.6,"Bumrah to Paine, no run, peach from Bumrah. This was pacy, this had some inward shape and Paine hangs his bat out to dry without any intent. The ball nips in and beats the inside edge","Dec 17, 2018 8:02:05 AM",50,6,0.0,,0
50.5,"Bumrah to Paine, <b>FOUR</b>, there's the fizz, there's the edge but Paine cleverly softens his grip to evade the threat. It kicked up just outside off, kisses the outside edge and dribbles past second slip to run away to the fence","Dec 17, 2018 8:01:26 AM",50,5,,,0
50.4,"Bumrah to Paine, no run, <i>141.3kph</i>, good length and skidding off the deck rapidly outside off, Paine watches it all along and hoists his bat","Dec 17, 2018 8:00:30 AM",50,4,0.0,,0
50.3,"Bumrah to Paine, no run, angles his bat across this length delivery outside off, poked to gully","Dec 17, 2018 7:59:55 AM",50,3,0.0,,0
50.2,"Bumrah to Paine, no run, swerving in just outside off, Paine wafts his bat lazily and ekes out a slight inside edge which drops near his toes","Dec 17, 2018 7:59:19 AM",50,2,0.0,,0
50.1,"Bumrah to Paine, no run, slanting it towards middle and leg, Paine gets his bat in-line and blocks","Dec 17, 2018 7:58:45 AM",50,1,0.0,,0
49.6,"Shami to Khawaja, no run, cutting back in with some spicy bounce, Khawaja is committed on the forward press and had to loosen his grip because of the sharp inward movement. Meets it high on the bat","Dec 17, 2018 7:57:46 AM",49,6,0.0,,0
49.5,"Shami to Khawaja, no run, gets it closer to off, but it's moving away and Khawaja is happy to lift his bat","Dec 17, 2018 7:57:10 AM",49,5,0.0,,0
49.4,"Shami to Khawaja, no run, Shami shifts his radar two feet outside off, curling in the air and Khawaja shoulders arms","Dec 17, 2018 7:56:31 AM",49,4,0.0,,0
49.3,"Shami to Khawaja, no run, fuller length delivery, decking in just outside off. Khawaja plonks his front foot across and defends","Dec 17, 2018 7:55:55 AM",49,3,0.0,,0
49.2,"Shami to Khawaja, no run, pitched up, around off. Khawaja lunges forward and opens his bat face to steer it to point","Dec 17, 2018 7:55:20 AM",49,2,0.0,,0
49.1,"Shami to Khawaja, no run, fullish and no real pace or bounce on the delivery. Khawaja lifts his bat and lets it go and it scoots through to Pant","Dec 17, 2018 7:54:53 AM",49,1,0.0,,0
48.6,"Bumrah to Paine, no run, shortish and Bumrah changes his line marginally outside off, Paine jumps back and forces it to cover","Dec 17, 2018 7:53:48 AM",48,6,0.0,,0
48.5,"Bumrah to Paine, no run, shaping back in from a length, very close to the off-stump but Paine is aware of the threat and judges it well to let it pass","Dec 17, 2018 7:53:06 AM",48,5,0.0,,0
48.4,"Bumrah to Khawaja, 1 run, <i>133kph</i>, fuller and straighter, the ball hits the crack and keeps low. Khawaja adjusts by hopping and gets his bat down to keep it out. Rolls away behind square","Dec 17, 2018 7:52:32 AM",48,4,1.0,,0
48.3,"Bumrah to Khawaja, no run, pitches it up, no movement on this occasion whatsoever. Khawaja blocks it clinically","Dec 17, 2018 7:51:48 AM",48,3,0.0,,0
48.2,"Bumrah to Khawaja, no run, goes round the wicket and gets it fuller just outside off, slight away movement and Khawaja defends it with soft hands. Ends up slicing an outside edge which runs to second slip","Dec 17, 2018 7:51:15 AM",48,2,0.0,,0
48.1,"Bumrah to Paine, 1 run, short of length and outside off, Paine rides the bounce and punches it to cover, runs straightaway for Paine and Australia","Dec 17, 2018 7:50:48 AM",48,1,1.0,,0
47.6,"Ishant to Khawaja, no run, looks to poke at a length delivery and misses. That was almost kissing the outer edge as Khawaja pushed forward","Dec 16, 2018 3:20:04 PM",47,6,0.0,,0
47.5,"Ishant to Khawaja, no run, wider length delivery and has been left alone","Dec 16, 2018 3:19:26 PM",47,5,0.0,,0
47.4,"Ishant to Paine, 1 run, length delivery and looks to drive, inside edges it away into the on-side for a single","Dec 16, 2018 3:18:35 PM",47,4,1.0,,0
47.3,"Ishant to Paine, no run, that was down leg and Paine misses the clip. Indians go up in an huge appeal but decide against the review. Kohli and Paine share a few words though","Dec 16, 2018 3:17:54 PM",47,3,0.0,,0
47.2,"Ishant to Paine, no run, fuller ball attacking the sticks and has been blocked out in front of the wicket with a push","Dec 16, 2018 3:16:51 PM",47,2,0.0,,0
47.1,"Ishant to Paine, no run, back of a length delivery and has been knocked away into the on-side","Dec 16, 2018 3:16:13 PM",47,1,0.0,,0
46.6,"U Yadav to Khawaja, no run, angles it in from round the wicket and has been left alone","Dec 16, 2018 3:14:50 PM",46,6,0.0,,0
46.5,"U Yadav to Khawaja, no run, plays a loose drive outside off and the ball lands short of Rahane, again, this time at gully","Dec 16, 2018 3:14:17 PM",46,5,0.0,,0
46.4,"U Yadav to Paine, 1 run, length delivery and has been pushed out into the off-side for a single","Dec 16, 2018 3:13:28 PM",46,4,1.0,,0
46.3,"U Yadav to Paine, no run, and a length delivery straightens after landing for the batter to jab the ball away behind square","Dec 16, 2018 3:12:49 PM",46,3,0.0,,0
46.2,"U Yadav to Paine, no run, length delivery attacking the sticks and has been pushed out into the deck","Dec 16, 2018 3:12:19 PM",46,2,0.0,,0
46.1,"U Yadav to Paine, no run, nipping away outside off and has been left alone","Dec 16, 2018 3:11:48 PM",46,1,0.0,,0
45.6,"Hanuma Vihari to Khawaja, <b>FOUR</b>, almost a wicket! Rahane was a little slow to react and the ball went past him at first slip in a jiffy for an iffy boundary. Khawaja's heart must have been in his mouth for sure","Dec 16, 2018 3:10:25 PM",45,6,,,0
45.5,"Hanuma Vihari to Khawaja, no run, doled up outside off and has been left alone","Dec 16, 2018 3:10:02 PM",45,5,0.0,,0
45.4,"Hanuma Vihari to Khawaja, no run, goes back and pushes the ball back to the bowler","Dec 16, 2018 3:09:48 PM",45,4,0.0,,0
45.3,"Hanuma Vihari to Khawaja, no run, angles the ball in and has been shouldered arms to by Khawaja","Dec 16, 2018 3:09:32 PM",45,3,0.0,,0
45.2,"Hanuma Vihari to Khawaja, no run, flatter ball and has been pushed out into the off-side","Dec 16, 2018 3:09:16 PM",45,2,0.0,,0
45.1,"Hanuma Vihari to Khawaja, no run, quicker ball outside off and has been left alone","Dec 16, 2018 3:09:04 PM",45,1,0.0,,0
