Ball-Number,Commentary,Date and Time,over,ball,runs,happend_on_ball,extra
51.1,"Lyon to Pant, 1 run, chips down the track and blasts the ball away for the man at long-off to cut it off","Dec 18, 2018 8:28:28 AM",51,1,1.0,,0
50.6,"Starc to Pant, 1 run, brute of a bumper. And the gully fielder was taken off the ball before and that is exactly where this ball goes. It reared up on the batsman, who arched back and fended it for the ball to go aerial in that zone","Dec 18, 2018 8:27:12 AM",50,6,1.0,,0
50.5,"Starc to Pant, no run, taps the ball out into the covers","Dec 18, 2018 8:26:24 AM",50,5,0.0,,0
50.4,"Starc to Pant, 2 runs, short ball, slashed over the man at point and they will get a double. Harris and Lyon collided but thankfully nothing serious. Both of them tried to cut it off but did not succeed","Dec 18, 2018 8:25:50 AM",50,4,2.0,,0
50.3,"Starc to Pant, no run, slips the short ball down leg and Pant looks to pull and misses","Dec 18, 2018 8:25:03 AM",50,3,0.0,,0
50.2,"Starc to Pant, no run, controlled steer outside off and the ball flies away over the cordon for it to be picked up by the man at deep third","Dec 18, 2018 8:24:00 AM",50,2,0.0,,0
50.1,"Starc to Pant, no run, spears it in and Pant dinks the ball away behind square. Denies a single again","Dec 18, 2018 8:23:22 AM",50,1,0.0,,0
49.6,"Lyon to U Yadav, no run, stays behind the line of the ball and defends it into the deck","Dec 18, 2018 8:22:01 AM",49,6,0.0,,0
49.5,"Lyon to U Yadav, no run, pushes forward and is beaten on the outer edge. That turned in and Yadav tried to play for the spin but it did not turn as much as he expected it to","Dec 18, 2018 8:21:35 AM",49,5,0.0,,0
49.4,"Lyon to U Yadav, no run, tossed up delivery and has been pushed back to the bowler","Dec 18, 2018 8:21:16 AM",49,4,0.0,,0
49.3,"Lyon to U Yadav, no run, forward and defending into the off-side","Dec 18, 2018 8:20:54 AM",49,3,0.0,,0
49.2,"Lyon to U Yadav, no run, floated up wide, Yadav looks to slash it and misses","Dec 18, 2018 8:20:36 AM",49,2,0.0,,0
49.1,"Lyon to U Yadav, no run, tossed up delivery and has been blocked back to the bowler","Dec 18, 2018 8:20:15 AM",49,1,0.0,,0
48.6,"Starc to Pant, <b>FOUR</b>, slashes and slashes hard..the ball flies away fine over the cordon for a four","Dec 18, 2018 8:19:11 AM",48,6,,,0
48.5,"Starc to Pant, no run, back of a length delivery and climbing on to the batsman. Pant taps it out into the off-side and is furious as Yadav did not respond for the call of a single. Immediately tells him in hindi: 'start toh lo' (at least take a start)","Dec 18, 2018 8:18:24 AM",48,5,0.0,,0
48.4,"Starc to Pant, 2 runs, push drives the ball away into the off-side and before the man at long-off could cut it off, they get a double. Again good running from Pant","Dec 18, 2018 8:17:47 AM",48,4,2.0,,0
48.3,"Starc to Pant, no run, drives and drives well..man at long-off cuts it off","Dec 18, 2018 8:17:02 AM",48,3,0.0,,0
